iter	Passed	Remaining
0	4	413
1	7	380
2	10	353
3	13	323
4	16	316
5	19	307
6	22	305
7	26	300
8	29	296
9	32	291
10	35	288
11	38	284
12	41	280
13	44	276
14	48	272
15	51	268
16	54	263
17	57	261
18	60	258
19	63	254
20	66	250
21	69	247
22	73	244
23	76	240
24	79	237
25	82	233
26	85	230
27	88	227
28	91	224
29	94	221
30	97	217
31	100	214
32	104	212
33	107	208
34	110	206
35	113	202
36	117	199
37	120	195
38	123	192
39	126	189
40	129	186
41	130	180
42	133	177
43	137	175
44	140	172
45	142	167
46	144	163
47	147	159
48	149	155
49	151	151
50	153	147
51	155	143
52	157	139
53	159	136
54	161	131
55	163	128
56	165	125
57	167	121
58	169	118
59	172	114
60	174	111
61	176	108
62	178	104
63	180	101
64	182	98
65	185	95
66	187	92
67	189	89
68	191	86
69	193	83
70	196	80
71	198	77
72	199	73
73	201	70
74	203	67
75	204	64
76	206	61
77	208	58
78	210	55
79	211	52
80	213	50
81	215	47
82	216	44
83	217	41
84	218	38
85	220	35
86	221	33
87	222	30
88	224	27
89	225	25
90	226	22
91	228	19
92	229	17
93	230	14
94	231	12
95	232	9
96	233	7
97	234	4
98	235	2
99	236	0
