iter	Passed	Remaining
0	1	1234
1	2	1014
2	2	940
3	3	910
4	4	896
5	5	907
6	6	911
7	7	911
8	8	917
9	9	909
10	9	896
11	10	885
12	11	876
13	12	864
14	13	858
15	13	851
16	14	848
17	15	844
18	16	834
19	16	832
20	17	826
21	18	823
22	19	839
23	20	845
24	21	857
25	22	856
26	23	852
27	24	848
28	25	847
29	26	842
30	26	838
31	27	835
32	28	834
33	29	832
34	30	827
35	30	826
36	31	824
37	32	822
38	33	821
39	34	830
40	35	836
41	36	838
42	37	834
43	38	830
44	38	825
45	39	821
46	40	816
47	40	812
48	41	808
49	42	805
50	43	807
51	44	808
52	46	824
53	46	822
54	47	819
55	48	820
56	49	821
57	50	820
58	51	820
59	52	817
60	53	817
61	53	815
62	54	812
63	55	809
64	55	805
65	56	802
66	57	802
67	58	798
68	58	795
69	59	791
70	60	788
71	60	784
72	61	782
73	62	779
74	63	778
75	64	784
76	65	787
77	66	791
78	67	790
79	68	790
80	69	787
81	70	785
82	70	778
83	71	778
84	72	776
85	72	773
86	73	770
87	74	768
88	74	765
89	75	762
90	76	759
91	76	757
92	77	756
93	78	757
94	79	757
95	80	757
96	81	754
97	81	752
98	82	749
99	83	747
100	83	745
101	84	742
102	85	742
103	85	739
104	86	737
105	87	734
106	87	732
107	88	730
108	89	728
109	89	726
110	90	724
111	91	728
112	93	735
113	95	738
114	96	741
115	97	740
116	97	738
117	98	737
118	99	738
119	100	737
120	101	736
121	101	733
122	102	731
123	103	729
124	104	728
125	104	726
126	105	723
127	106	722
128	106	722
129	108	728
130	109	728
131	110	726
132	111	725
133	112	723
134	112	722
135	113	720
136	114	718
137	114	716
138	115	714
139	116	713
140	116	711
141	117	708
142	117	706
143	118	704
144	119	702
145	119	700
146	120	699
147	121	697
148	122	697
149	122	696
150	123	695
151	124	694
152	125	693
153	125	691
154	126	689
155	127	688
156	127	686
157	128	684
158	129	683
159	129	681
160	130	678
161	130	677
162	131	676
163	132	674
164	133	673
165	133	671
166	134	670
167	135	669
168	135	668
169	136	667
170	137	667
171	138	666
172	139	666
173	140	664
174	140	663
175	141	662
176	142	660
177	142	659
178	143	658
179	144	656
180	144	655
181	145	653
182	146	652
183	146	651
184	147	649
185	148	648
186	148	647
187	149	646
188	150	644
189	151	644
190	152	645
191	153	644
192	154	644
193	154	643
194	155	641
195	156	640
196	156	639
197	157	638
198	158	636
199	158	635
200	159	634
201	160	633
202	161	632
203	161	631
204	162	629
205	163	628
206	163	627
207	164	626
208	165	625
209	166	624
210	167	624
211	167	623
212	168	623
213	169	622
214	170	621
215	170	619
216	171	618
217	172	617
218	172	616
219	173	615
220	174	613
221	174	612
222	175	611
223	176	610
224	176	609
225	177	608
226	178	607
227	179	606
228	179	605
229	180	604
230	181	603
231	182	604
232	183	603
233	184	603
234	185	602
235	185	601
236	187	602
237	187	601
238	188	600
239	189	599
240	190	598
241	190	597
242	191	596
243	192	595
244	192	593
245	193	592
246	194	591
247	194	590
248	195	589
249	196	589
250	197	589
251	198	588
252	199	588
253	199	586
254	200	585
255	201	584
256	201	583
257	202	581
258	202	580
259	203	579
260	204	578
261	204	577
262	205	576
263	206	574
264	206	573
265	207	572
266	208	571
267	208	570
268	209	570
269	210	569
270	211	568
271	212	567
272	212	566
273	213	565
274	214	564
275	214	563
276	215	562
277	216	561
278	216	560
279	217	559
280	218	558
281	218	557
282	219	556
283	220	554
284	220	553
285	221	552
286	222	551
287	222	550
288	223	549
289	224	549
290	225	548
291	225	547
292	226	546
293	227	545
294	227	544
295	228	543
296	229	542
297	229	541
298	230	540
299	231	539
300	231	538
301	232	537
302	233	536
303	233	535
304	234	534
305	235	533
306	235	532
307	236	531
308	237	530
309	237	529
310	238	529
311	239	528
312	240	528
313	241	527
314	242	526
315	242	525
316	243	524
317	244	523
318	244	522
319	245	521
320	246	520
321	246	519
322	247	518
323	248	517
324	248	516
325	249	515
326	250	514
327	250	513
328	251	512
329	252	511
330	252	510
331	253	510
332	254	509
333	255	509
334	256	508
335	256	507
336	257	506
337	258	505
338	258	504
339	259	503
340	260	502
341	260	501
342	261	500
343	261	499
344	262	498
345	263	497
346	264	496
347	264	495
348	265	494
349	265	493
350	266	492
351	267	492
352	268	491
353	269	491
354	269	490
355	270	489
356	271	488
357	272	487
358	272	486
359	273	486
360	274	485
361	274	484
362	275	483
363	276	483
364	277	482
365	277	481
366	278	480
367	279	479
368	279	478
369	280	477
370	281	476
371	281	475
372	282	475
373	284	476
374	286	476
375	287	477
376	288	476
377	289	475
378	290	475
379	291	474
380	291	474
381	292	473
382	293	472
383	293	471
384	294	470
385	295	469
386	296	468
387	297	468
388	298	469
389	299	468
390	300	468
391	301	467
392	302	466
393	303	466
394	303	465
395	304	464
396	305	463
397	306	462
398	306	462
399	307	461
400	308	460
401	308	459
402	309	458
403	310	457
404	310	456
405	311	455
406	312	455
407	313	455
408	316	457
409	317	456
410	318	456
411	319	456
412	320	455
413	321	454
414	322	454
415	322	453
416	323	452
417	324	451
418	324	450
419	325	449
420	326	449
421	327	449
422	329	449
423	330	448
424	331	448
425	332	447
426	332	446
427	333	445
428	334	444
429	335	444
430	335	443
431	336	442
432	337	441
433	338	440
434	338	439
435	339	439
436	340	438
437	341	438
438	344	440
439	345	439
440	346	439
441	347	439
442	348	438
443	349	437
444	349	436
445	350	435
446	405	501
447	408	503
448	409	503
449	411	502
450	412	502
451	413	501
452	415	501
453	416	501
454	418	501
455	419	500
456	423	502
457	424	502
458	426	502
459	427	501
460	428	501
461	430	500
462	431	500
463	432	500
464	433	499
465	434	497
466	435	497
467	436	496
468	437	495
469	438	494
470	439	493
471	439	492
472	440	491
473	441	489
